Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/orders,38,38,4097.304099999974,3877.651505263143,74.81979999988653,4097.304099999974,0.0,0.6558138733571808,0.6558138733571808,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
POST,/api/orders,3,3,4066.4343000000827,2872.328333333295,485.5244999998831,4066.4343000000827,9.333333333333334,0.051774779475566905,0.051774779475566905,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/healthz,34,34,4098.686300000054,4065.8419970588566,4041.5473000000475,4098.686300000054,0.0,0.5867808340564249,0.5867808340564249,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
,Aggregated,75,75,4098.686300000054,3922.751601333339,74.81979999988653,4098.686300000054,0.37333333333333335,1.2943694868891726,1.2943694868891726,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
